Time,Opening,Highest,Lowest,Closing,Change,Pct_Change,Trading_Volume,Trading_Amount
1996-11-25,948.58,976.55,938.8,976.55,24.72,2.5971,644017800.0,5316872192.0
1996-11-26,981.46,985.13,957.8,967.58,-8.97,-0.9185,620120700.0,5630133248.0
1996-11-27,966.93,987.18,960.45,980.38,12.8,1.3229,547605600.0,4939283968.0
1996-11-28,983.01,1002.54,978.5,992.63,12.25,1.2495,751075500.0,6376733184.0
1996-11-29,997.85,1037.15,997.83,1032.94,40.31,4.0609,1313048700.0,10565223424.0
1996-12-02,1056.67,1134.9,1056.67,1134.52,101.58,9.8341,2041152800.0,17497262080.0
1996-12-03,1157.08,1177.67,1118.83,1122.98,-11.54,-1.0172,1906000000.0,19855284224.0
1996-12-04,1117.03,1170.6,1115.26,1169.92,46.94,4.1799,1482844100.0,13254090752.0
1996-12-05,1199.38,1215.25,1180.2,1212.08,42.16,3.6037,1968710700.0,19629008896.0
1996-12-06,1207.3,1220.3,1194.76,1212.88,0.8,0.066,1443051800.0,15068135424.0
1996-12-09,1227.47,1250.56,1227.47,1247.65,34.77,2.8667,1560320100.0,16644333568.0
1996-12-10,1244.11,1244.11,1202.27,1230.25,-17.4,-1.3946,1296336700.0,13763515392.0
1996-12-11,1225.38,1258.68,1220.4,1244.9,14.65,1.1908,1268027600.0,14534660096.0
1996-12-12,1248.13,1254.29,1167.97,1177.13,-67.77,-5.4438,1120406100.0,12529473536.0
1996-12-13,1164.34,1175.44,1108.29,1110.03,-67.1,-5.7003,974248600.0,10117194752.0
1996-12-16,1005.0,1005.12,999.63,1000.02,-110.01,-9.9105,143300300.0,1378386048.0
1996-12-17,907.65,943.37,903.85,905.57,-94.45,-9.4448,601468400.0,5295693824.0
1996-12-18,872.35,975.96,869.02,972.73,67.16,7.4163,1012433400.0,8375208960.0
1996-12-19,971.14,983.24,893.46,902.42,-70.31,-7.2281,890830000.0,8085342208.0
1996-12-20,881.08,898.92,864.25,885.23,-17.19,-1.9049,619893000.0,5007540224.0
1996-12-23,900.32,911.58,890.83,902.01,16.78,1.8956,443724000.0,3694971904.0
1996-12-24,907.63,911.12,864.14,865.57,-36.44,-4.0399,366522400.0,2986717952.0
1996-12-25,870.44,897.44,855.84,895.17,29.6,3.4197,415918500.0,3363981056.0
1996-12-26,904.02,924.33,890.4,924.23,29.06,3.2463,552219100.0,4256807936.0
1996-12-27,925.8,927.09,903.82,922.34,-1.89,-0.2045,550900400.0,4327022080.0
1996-12-30,929.72,938.54,923.94,934.21,11.87,1.2869,571750500.0,4938774016.0
1996-12-31,935.9,935.97,912.97,917.01,-17.2,-1.8411,472143300.0,4055809024.0
1997-01-02,914.06,920.19,909.46,919.43,2.42,0.2639,265303700.0,2369873920.0
1997-01-03,921.1,922.39,896.99,899.61,-19.82,-2.1557,342916500.0,2822564096.0
1997-01-06,890.98,892.02,875.88,876.49,-23.12,-2.57,241608800.0,1894046976.0
1997-01-07,872.8,903.0,871.78,898.17,21.68,2.4735,251824800.0,1963756032.0
1997-01-08,899.83,902.52,887.22,896.4,-1.77,-0.1971,231369000.0,1880558976.0
1997-01-09,897.99,914.33,897.94,906.97,10.57,1.1792,252650100.0,2158647040.0
1997-01-10,908.55,918.5,906.54,918.4,11.43,1.2602,333721700.0,2871982080.0
1997-01-13,923.54,931.44,922.73,929.52,11.12,1.2108,388141300.0,3182441984.0
1997-01-14,929.55,929.59,903.62,907.85,-21.67,-2.3313,304393900.0,2603044096.0
1997-01-15,905.47,919.41,905.05,916.71,8.86,0.9759,193795700.0,1643736960.0
1997-01-16,917.48,922.1,908.25,915.0,-1.71,-0.1865,194014700.0,1800500992.0
1997-01-17,916.1,921.14,912.65,919.85,4.85,0.5301,223666800.0,2166646016.0
1997-01-20,922.46,933.36,922.06,933.28,13.43,1.46,274933100.0,2444270080.0
1997-01-21,937.04,939.01,926.09,929.11,-4.17,-0.4468,339361800.0,2955960064.0
1997-01-22,929.35,942.72,929.0,942.43,13.32,1.4336,315826500.0,3060456960.0
1997-01-23,945.59,947.54,940.49,945.8,3.37,0.3576,381732100.0,3626618880.0
1997-01-24,945.52,954.3,934.64,953.91,8.11,0.8575,373787000.0,3272756992.0
1997-01-27,957.24,959.86,952.4,959.05,5.14,0.5388,479914900.0,4142264064.0
1997-01-28,957.87,957.88,947.91,956.31,-2.74,-0.2857,328674400.0,2907715072.0
1997-01-29,955.95,964.01,955.09,962.1,5.79,0.6055,413085900.0,3652549120.0
1997-01-30,960.49,962.97,955.46,960.17,-1.93,-0.2006,352383100.0,3034253056.0
1997-01-31,960.25,967.89,960.07,964.74,4.57,0.476,408801600.0,3666237952.0
1997-02-17,969.53,985.2,959.74,982.4,17.66,1.8305,361696600.0,3323141888.0
1997-02-18,980.48,999.22,893.74,894.84,-87.56,-8.9129,727384800.0,6565445120.0
