ID,证券简称,Labels
002436,兴森科技,4
002437,誉衡药业,2
002438,江苏神通,7
002439,启明星辰,7
002440,闰土股份,2
002441,众业达,7
002442,龙星化工,4
002443,金洲管道,2
002444,巨星科技,2
002445,中南文化,2
002446,盛路通信,2
002448,中原内配,4
002449,国星光电,7
002451,摩恩电气,7
002452,长高电新,2
002453,华软科技,2
002454,松芝股份,0
002455,百川股份,4
002456,欧菲光,7
002457,青龙管业,7
002458,益生股份,4
002459,晶澳科技,4
002460,赣锋锂业,6
002461,珠江啤酒,2
002462,嘉事堂,7
002463,沪电股份,1
002465,海格通信,7
002466,天齐锂业,4
002467,二六三,3
002468,申通快递,4
002469,三维化学,2
002470,金正大,4
002471,中超控股,7
002474,榕基软件,2
002475,立讯精密,7
002476,宝莫股份,3
002478,常宝股份,2
002479,富春环保,4
002480,新筑股份,4
002481,双塔食品,4
002482,广田集团,1
002483,润邦股份,0
002484,江海股份,2
002485,ST 雪发,0
002486,嘉麟杰,3
002487,大金重工,2
002488,金固股份,4
002489,浙江永强,2
002490,ST 墨龙,4
002491,通鼎互联,7
002492,恒基达鑫,4
002493,荣盛石化,4
002494,华斯股份,4
002495,佳隆股份,2
002496,辉丰股份,2
002497,雅化集团,2
002498,汉缆股份,7
002500,山西证券,0
002501,利源股份,4
002506,协鑫集成,0
002507,涪陵榨菜,2
002508,老板电器,2
002510,天汽模,0
002511,中顺洁柔,4
002512,达华智能,0
002513,蓝丰生化,8
002514,宝馨科技,4
002515,金字火腿,3
002516,旷达科技,2
002517,恺英网络,3
002518,科士达,2
002519,银河电子,2
002520,日发精机,4
002521,齐峰新材,2
002522,浙江众成,4
002523,天桥起重,7
002524,光正眼科,4
002526,山东矿机,7
002527,新时达,7
002528,ST 英飞拓,7
002529,海源复材,4
002530,金财互联,2
002531,天顺风能,4
002532,天山铝业,4
002533,金杯电工,7
002534,西子洁能,0
002535,林州重机,4
002536,飞龙股份,2
002537,海联金汇,0
002538,司尔特,2
002539,云图控股,4
002540,亚太科技,7
002541,鸿路钢构,4
002542,中化岩土,7
002543,万和电气,3
002544,普天科技,7
002545,东方铁塔,6
002546,新联电子,2
002547,春兴精工,4
002548,金新农,4
002549,凯美特气,4
002550,千红制药,2
002551,尚荣医疗,0
002552,宝鼎科技,4
002553,南方精工,3
002554,惠博普,0
002555,三七互娱,2
002556,辉隆股份,0
002557,洽洽食品,3
002558,巨人网络,2
002559,亚威股份,0
002560,通达股份,7
002561,徐家汇,3
002562,兄弟科技,4
002563,森马服饰,3
002564,*ST 天沃,0
002565,顺灏股份,2
